                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1096,                0.47338,                 1.2991,                0.99923,                      1,                  0.995,                0.71179,                 1.1549,                0.40069,                 1.4538,             0.00054478,             0.00054478,             0.00054478
                     36,                 1.0623,                0.47015,                 1.2771,                0.99276,                0.99324,                 0.9907,                0.71896,                 1.1338,                0.40182,                 1.4174,             0.00051177,             0.00051177,             0.00051177
                     37,                 1.0597,                0.45786,                 1.2829,                0.99906,                      1,                  0.995,                0.70945,                 1.1481,                0.38795,                 1.4573,             0.00047876,             0.00047876,             0.00047876
                     38,                  1.063,                0.45078,                 1.2918,                0.99903,                      1,                  0.995,                0.70899,                 1.1423,                0.38346,                  1.449,             0.00044576,             0.00044576,             0.00044576
                     39,                 1.0703,                 0.4578,                 1.2764,                 0.9968,                0.99775,                0.99495,                0.71037,                 1.1473,                0.38005,                 1.4377,             0.00041275,             0.00041275,             0.00041275
                     40,                 1.0704,                0.44191,                 1.2773,                0.99699,                0.99775,                0.99493,                0.70483,                  1.172,                0.39343,                 1.4795,             0.00037974,             0.00037974,             0.00037974
                     41,                 1.0707,                0.39919,                 1.3666,                0.99941,                      1,                  0.995,                0.70989,                 1.1488,                 0.3847,                 1.4321,             0.00034674,             0.00034674,             0.00034674
                     42,                 1.0589,                0.38923,                 1.3448,                0.99659,                0.99775,                0.99493,                 0.7043,                 1.1372,                 0.3816,                 1.4435,             0.00031373,             0.00031373,             0.00031373
                     43,                 1.0656,                0.39618,                  1.356,                0.99665,                0.99775,                0.99495,                0.71589,                 1.1296,                0.38398,                 1.4268,             0.00028072,             0.00028072,             0.00028072
                     44,                 1.0391,                0.38564,                 1.3421,                0.99662,                0.99775,                  0.995,                0.70738,                 1.1532,                0.38396,                 1.4553,             0.00024772,             0.00024772,             0.00024772
                     45,                 1.0296,                0.38116,                 1.3294,                0.99895,                      1,                  0.995,                0.71015,                 1.1438,                0.37968,                 1.4539,             0.00021471,             0.00021471,             0.00021471
                     46,                 1.0372,                 0.3811,                 1.3397,                  0.999,                      1,                  0.995,                0.71239,                 1.1436,                 0.3766,                 1.4435,              0.0001817,              0.0001817,              0.0001817
                     47,                0.99062,                0.37006,                 1.3188,                0.99923,                      1,                  0.995,                0.71614,                 1.1439,                0.37534,                 1.4533,              0.0001487,              0.0001487,              0.0001487
                     48,                 1.0078,                0.36806,                 1.3123,                0.99883,                0.99974,                  0.995,                0.71146,                 1.1364,                0.37327,                 1.4511,             0.00011569,             0.00011569,             0.00011569
                     49,                0.99991,                0.36209,                  1.331,                0.99846,                 0.9997,                  0.995,                0.70881,                 1.1457,                0.37408,                 1.4554,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                0.98368,                0.36094,                  1.297,                0.99949,                      1,                  0.995,                 0.7105,                 1.1362,                0.36924,                 1.4489,             4.9677e-05,             4.9677e-05,             4.9677e-05
